Designator,Comment,Footprint
C1,100nf,Capacitor_SMD:C_0805_2012Metric
C2,1nf,Capacitor_SMD:C_0603_1608Metric
"C3,C4",22pf,Capacitor_SMD:C_0603_1608Metric
"C5,C21,C22,C23,C24,C25,C26",10uf,Capacitor_SMD:C_1206_3216Metric
C6,100uf,Capacitor_SMD:C_1210_3225Metric
"C13,C14,C15,C20",1uf,Capacitor_SMD:C_0805_2012Metric
"C16,C17,C18,C19",0.1uf,Capacitor_SMD:C_0805_2012Metric
"R1,R2,R5,R6,R9,R10",1k,Resistor_SMD:R_1206_3216Metric
"R3,R4,R7,R8,R11,R12",15k,Resistor_SMD:R_1206_3216Metric
R13,20k,Resistor_SMD:R_1206_3216Metric
R14,10k,Resistor_SMD:R_1206_3216Metric
R15,10K,Resistor_SMD:R_1206_3216Metric
"R16,R18,R20,R22,R24,R26",100k,Resistor_SMD:R_1206_3216Metric
"R17,R19,R21,R23,R25,R27",16k,Resistor_SMD:R_1206_3216Metric
U1,ATmega328-A,Package_QFP:TQFP-32_7x7mm_P0.8mm
U3,LM1117MP-3.3,Package_TO_SOT_SMD:TO-252-3_TabPin2
