"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805_2012Metric";1;"100nf";;;
2;"R13";"R_1206_3216Metric";1;"20k";;;
3;"SW1";"SW_PUSH_6mm_H8mm";1;"SW_RESET";;;
4;"Q5,Q3,Q1,Q2,Q6,Q4";"TO-92_Inline";6;"2N3904";;;
5;"D10,D16,D7,D9,D17,D8,D12,D18,D11";"D_DO-41_SOD81_P10.16mm_Horizontal";9;"5.1v";;;
6;"C13,C14,C15,C20";"C_0805_2012Metric";4;"1uf";;;
7;"J13";"PinHeader_1x02_P2.54mm_Horizontal";1;"3.3VOUT";;;
8;"C4,C3";"C_0603_1608Metric";2;"22pf";;;
9;"C25,C26,C24,C5,C22,C21,C23";"C_1206_3216Metric";7;"10uf";;;
10;"C6";"C_1210_3225Metric";1;"100uf";;;
11;"R9,R10,R6,R2,R1,R5";"R_1206_3216Metric";6;"1k";;;
12;"C19,C16,C18,C17";"C_0805_2012Metric";4;"0.1uf";;;
13;"U5,U4";"AmazonBuckConverter";2;"~";;;
14;"R18,R20,R24,R22,R16,R26";"R_1206_3216Metric";6;"100k";;;
15;"D5,D6,D3,D20,D1,D19,D2,D4";"D_DO-41_SOD81_P10.16mm_Horizontal";8;"D";;;
16;"R17,R19,R23,R27,R25,R21";"R_1206_3216Metric";6;"16k";;;
17;"C9,C11";"CP_Radial_D10.0mm_P2.50mm";2;"470uf";;;
18;"DS1";"WC1602A";1;"WC1602A";;;
19;"K6,K1,K3,K2,K4,K5";"Relay_SPDT_Omron-G5LE-1";6;"G5LE-1";;;
20;"J2";"PinSocket_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
21;"J14,J8,J7";"PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical";3;"Screw_Terminal_01x06";;;
22;"R11,R8,R3,R7,R12,R4";"R_1206_3216Metric";6;"15k";;;
23;"J10";"PinHeader_1x02_P2.54mm_Horizontal";1;"12-36v";;;
24;"J12";"PinHeader_1x02_P2.54mm_Horizontal";1;"5VOUT";;;
25;"J9";"PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical";1;"AUXIO";;;
26;"J6";"PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical";1;"VOLTAGE_MON_INPUTS";;;
27;"Y1";"Crystal_HC49-4H_Vertical";1;"16Mhz";;;
28;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328-A";;;
29;"U3";"TO-252-3_TabPin2";1;"LM1117MP-3.3";;;
30;"U2";"ESP-01";1;"ESP-01v090";;;
31;"J5";"PinHeader_1x02_P2.54mm_Horizontal";1;"I2C_DISPLAY";;;
32;"C2";"C_0603_1608Metric";1;"1nf";;;
33;"J4";"PinHeader_1x02_P2.54mm_Horizontal";1;"I2C_AUX";;;
34;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"ResetJumper";;;
35;"R14";"R_1206_3216Metric";1;"10k";;;
36;"R15";"R_1206_3216Metric";1;"10K";;;
37;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"RESET_DISABLE";;;
